Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2021-09-30,2021-09-30,3880,REVERB.COM LLC,Merchandise,21.44,
2021-09-28,2021-09-29,3880,TST* VERDE,Dining,16.88,
2021-09-28,2021-09-29,3880,TARGET        00020800,Merchandise,31.97,
2021-09-26,2021-09-28,3880,DA VINCI'S PIZZA,Dining,3.52,
2021-09-26,2021-09-27,3880,HARRIS TEETER #472,Merchandise,45.55,
2021-09-26,2021-09-27,3880,AMZN Mktp US,Merchandise,,8.72
2021-09-26,2021-09-27,3880,AMZN Mktp US,Merchandise,,70.19
2021-09-27,2021-09-27,3880,Amazon.com*2C4V31CW2,Merchandise,41.89,
2021-09-25,2021-09-27,3880,CHIPOTLE 2939,Dining,9.74,
2021-09-24,2021-09-27,3880,CHICK-FIL-A #01890,Dining,10.59,
2021-09-24,2021-09-27,3880,7-ELEVEN 38677,Gas/Automotive,17.26,
2021-09-25,2021-09-27,3880,INET-CASH.COM/SUPPORT,Other,16.38,
2021-09-24,2021-09-27,3880,FAS MART 103,Gas/Automotive,11.86,
2021-09-24,2021-09-25,3880,ISABEL'S,Dining,7.55,
2021-09-24,2021-09-25,3880,TARGET        00020800,Merchandise,37.28,
2021-09-24,2021-09-25,3880,AMZN Mktp US*2C2YO7NH0,Merchandise,70.19,
2021-09-24,2021-09-25,3880,AMZN Mktp US*2C0QR9TT1,Merchandise,8.72,
2021-09-23,2021-09-24,3880,MES BURGERS N BREWS,Dining,25.75,
2021-09-23,2021-09-24,3880,MOON RIVER THAI,Dining,12.50,
2021-09-23,2021-09-24,3880,MINT MOBILE,Phone/Cable,21.00,
2021-09-22,2021-09-24,3880,MINT MOBILE,Phone/Cable,10.50,
2021-09-22,2021-09-24,3880,ROUTE 58 RACEWAY,Gas/Automotive,30.00,
2021-09-22,2021-09-24,3880,EL VALLARTA,Dining,16.50,
2021-09-23,2021-09-24,3880,SQ *BISCUITVILLE 150,Dining,4.68,
2021-09-22,2021-09-23,3880,DELL ANNOS PIZZA KIT,Dining,16.70,
2021-09-21,2021-09-22,3880,MINT MOBILE,Phone/Cable,21.00,
2021-09-21,2021-09-22,3880,MES BURGERS N BREWS,Dining,33.55,
2021-09-20,2021-09-22,3880,KICKBACK JACKS 36,Dining,28.02,
2021-09-21,2021-09-22,3880,SQ *PHILLY'S,Dining,13.36,
2021-09-21,2021-09-22,3880,SQ *BISCUITVILLE 150,Dining,4.68,
2021-09-19,2021-09-21,3880,SHEETZ 0306   00003061,Gas/Automotive,6.86,
2021-09-19,2021-09-21,3880,7-ELEVEN 38677,Gas/Automotive,14.19,
2021-09-19,2021-09-20,3880,QUALITY INNS,Lodging,623.83,
2021-09-19,2021-09-20,3880,TARGET        00020800,Merchandise,4.07,
2021-09-18,2021-09-20,3880,TONYS PIZZA HUNTERSVIL,Dining,32.60,
2021-09-17,2021-09-18,3880,MUSIC & ARTS 88,Merchandise,50.40,
2021-09-17,2021-09-18,3880,HARRIS TEETER #0209,Merchandise,6.73,
2021-09-16,2021-09-18,3880,CHICK-FIL-A #01890,Dining,10.59,
2021-09-16,2021-09-17,3880,MICHAELS STORES 1386,Merchandise,25.16,
2021-09-15,2021-09-17,3880,TROPICANA,Dining,15.00,
2021-09-14,2021-09-16,3880,MARATHON PETRO202895,Gas/Automotive,30.05,
2021-09-14,2021-09-15,3880,FIREHOUSE SUBS 0447 QS,Dining,9.00,
2021-09-13,2021-09-14,3880,HARRIS TEETER #0209,Merchandise,12.95,
2021-09-13,2021-09-14,3880,TARGET        00020800,Merchandise,27.61,
2021-09-12,2021-09-13,3880,CHIPOTLE 2939,Dining,9.74,
2021-09-11,2021-09-13,3880,CHICK-FIL-A #01890,Dining,10.59,
2021-09-12,2021-09-13,3880,TARGET        00020800,Merchandise,47.29,
2021-09-12,2021-09-13,3880,TARGET        00020800,Merchandise,5.08,
2021-09-11,2021-09-13,3880,LOWES #02352*,Merchandise,3.09,
2021-09-12,2021-09-13,3880,REVERB.COM LLC,Merchandise,439.73,
2021-09-10,2021-09-11,3880,HARRIS TEETER #0209,Merchandise,11.33,
2021-09-11,2021-09-11,3880,CAPITAL ONE MOBILE PYMT,Payment/Credit,,1176.69
2021-09-09,2021-09-10,3880,FIVE GUYS NC 0211 QSR,Dining,9.62,
2021-09-09,2021-09-10,3880,TARGET        00020800,Merchandise,24.76,
2021-09-09,2021-09-10,3880,ENTERPRISE RENT-A-CAR,Car Rental,82.08,
2021-09-08,2021-09-10,3880,HOLIDAY INN EXPRESS DA,Lodging,131.14,
2021-09-08,2021-09-10,3880,SHOWMARS -0K239,Dining,11.89,
2021-09-08,2021-09-09,3880,GREAT WALL RESTAURANT,Dining,10.00,
2021-09-07,2021-09-09,3880,CITY BARBEQUE HUNTERS,Dining,12.74,
2021-09-08,2021-09-09,3880,COURSRA9O010A00QSQ0O9,Other,41.83,
2021-09-07,2021-09-08,3880,DELL ANNOS PIZZA KIT,Dining,17.28,
2021-09-07,2021-09-08,3880,BP#8187650TIMES TA QPS,Gas/Automotive,20.42,
2021-09-05,2021-09-06,3880,CHIPOTLE 2939,Dining,12.77,
2021-09-06,2021-09-06,3880,AMZN Mktp US*252GK7GQ2,Merchandise,3.55,
2021-09-06,2021-09-06,3880,AMZN Mktp US*250D72Y31,Merchandise,38.56,
2021-09-05,2021-09-06,3880,TARGET        00020800,Merchandise,23.14,
2021-09-04,2021-09-06,3880,7-ELEVEN 38677,Gas/Automotive,4.83,
2021-09-03,2021-09-04,3880,HARRIS TEETER #0209,Merchandise,8.65,
2021-09-03,2021-09-04,3880,HARRIS TEETER #0209,Merchandise,7.55,
2021-09-02,2021-09-03,3880,FIVE GUYS NC 0211 QSR,Dining,9.62,
2021-09-02,2021-09-03,3880,TARGET        00020800,Merchandise,18.12,
2021-09-01,2021-09-02,3880,HARRIS TEETER #0209,Merchandise,6.45,
2021-08-31,2021-09-02,3880,CHICK-FIL-A #01890,Dining,10.59,
2021-08-31,2021-09-01,3880,LOWES #02352*,Merchandise,8.49,
2021-09-01,2021-09-01,3880,REVERB.COM LLC,Merchandise,60.06,
2021-08-31,2021-09-01,3880,TARGET        00020800,Merchandise,11.07,

